id,file_name,caption,original
57429,000000057429.jpg,an airplane with its landing wheels out landing ,An airplane with its landing wheels out landing. 
57429,000000057429.jpg,a plane that is taking off at an airport,A plane that is taking off at an airport
57429,000000057429.jpg,a man takes a picture of an airplane taking off,A man takes a picture of an airplane taking off.
57429,000000057429.jpg,a large jet takes off from an airport runway,A large jet takes off from an airport runway.
57429,000000057429.jpg,the airplane is taking off on the runway at the airport,The airplane is taking off on the runway at the airport.
410627,000000410627.jpg,the young man is stirring his pot of food with a wooden spoon,The young man is stirring his pot of food with a wooden spoon.
410627,000000410627.jpg,a man enjoys cooking food in a pan,A man enjoys cooking food in a pan
410627,000000410627.jpg,a smiling man is cooking in his kitchen,A smiling man is cooking in his kitchen.
410627,000000410627.jpg,a man smiles as he stirs his food in the pot,A man smiles as he stirs his food in the pot.
410627,000000410627.jpg,a boy smiles while holding a pot and spoon,A boy smiles while holding a pot and spoon.
554037,000000554037.jpg,a counter with vegetables knife and cutting board on it ,"a counter with vegetables, knife and cutting board on it. "
554037,000000554037.jpg,asparragus lemons and a bowl of rice on a counter top,"asparragus, lemons and a bowl of rice on a counter top"
554037,000000554037.jpg,the preparation of salmon asparagus and lemons ,"The preparation of salmon, asparagus and lemons. "
554037,000000554037.jpg,cooking table with assorted fish and lemons with asparagus ,Cooking table with assorted fish and lemons with asparagus. 
554037,000000554037.jpg,a kitchen counter with cutting board knife and food,"A kitchen counter with cutting board, knife and food."
143370,000000143370.jpg,a bathroom with a poster of an ugly face above the toilette,A bathroom with a poster of an ugly face above the toilette.
143370,000000143370.jpg,a bathroom with a white toilet and sink,A bathroom with a white toilet and sink.
143370,000000143370.jpg,large bathroom with light flowing in the window,Large bathroom with light flowing in the window.
143370,000000143370.jpg,a small bathroom with a toilet by the window and a pedestal sink with a mirrored medicine cabinet over it,A small bathroom with a toilet by the window and a pedestal sink with a mirrored medicine cabinet over it
143370,000000143370.jpg,a bathroom with a toilet and a sink,A bathroom with a toilet and a sink.
540860,000000540860.jpg,a green car on display next to a busy street,A green car on display next to a busy street.
540860,000000540860.jpg,a sculpture of a green hot rod on a city sidewalk,A sculpture of a green hot rod on a city sidewalk
540860,000000540860.jpg,a sculpture of a hot rod sitting on a sidewalk,A sculpture of a hot rod sitting on a sidewalk.
540860,000000540860.jpg,this is a city art piece of a small car,This is a city art piece of a small car.
540860,000000540860.jpg,a small green vehicle model is on display next to a busy city street,A small green vehicle model is on display next to a busy city street.
40986,000000040986.jpg,raw cookies in a pan on the counter and baked cookies in a pan on the stove,Raw cookies in a pan on the counter and baked cookies in a pan on the stove.
40986,000000040986.jpg,assorted items on a counter top in a kitchenette,Assorted items on a counter top in a kitchenette.
40986,000000040986.jpg,a man points at the wall in his kitchen,A man points at the wall in his kitchen.
40986,000000040986.jpg,two pans with cookies in them sitting on a counter with liquor bottles a coffee maker and knives,"Two pans with cookies in them sitting on a counter with liquor bottles, a coffee maker and knives."
40986,000000040986.jpg,a countertop in a kitchen with fresh cookies,A countertop in a kitchen with fresh cookies.
445002,000000445002.jpg,an empty modern style bathroom for two people,an empty modern style bathroom for two people
445002,000000445002.jpg,a bathroom with two sinks and an enclosed shower,A bathroom with two sinks and an enclosed shower.
445002,000000445002.jpg,two white sinks in a bathroom with a phone in it,Two white sinks in a bathroom with a phone in it.
445002,000000445002.jpg,the bathroom is cluttered with various grooming objects,The bathroom is cluttered with various grooming objects.
445002,000000445002.jpg,a clean bathroom with towels a shower and sinks,"A clean bathroom with towels, a shower and sinks."
79920,000000079920.jpg,a living room with a large tv and pictures all around,A living room with a large tv and pictures all around.
79920,000000079920.jpg,a flat screen tv sitting next to a fireplace in a living room,A flat screen TV sitting next to a fireplace in a living room.
79920,000000079920.jpg,a large scree tv sits in the corner of a family room,A large scree TV sits in the corner of a family room.
79920,000000079920.jpg,a television playing in the corner of a living room beside a fireplace arranged with family photos and paintings,A television playing in the corner of a living room beside a fireplace arranged with family photos and paintings.
79920,000000079920.jpg,a large television set next to stone fireplace in a living room,a large television set next to stone fireplace in a living room
442609,000000442609.jpg,a messy kitchen with pots and pans laying around,A messy kitchen with pots and pans laying around.
442609,000000442609.jpg,a white stove in a kitchen and a blender and bowls ,a white stove in a kitchen and a blender and bowls 
